name,link_name
Nunu & Willump,nunu
Άατροξ,aatrox
Άιβερν,ivern
Άλισταρ,alistar
Άνι,annie
Άρι,ahri
Έβελιν,evelynn
Έζρεαλ,ezreal
Έκκο,ekko
Όλαφ,olaf
Αζίρ,azir
Ακάλι,akali
Ακσάν,akshan
Αμούμου,amumu
Αμπέσα,ambessa
Ανίβια,anivia
Ας,ashe
Αφέλιος,aphelios
Βάι,vi
Βάρδος,bard
Βάρους,varus
Βέιγκαρ,veigar
Βέιν,vayne
Βίκτορ,viktor
Βελ'Κοζ,velkoz
Βεξ,vex
Βιέγκο,viego
Βλάντιμιρ,vladimir
Βόλιμπεαρ,volibear
Γιούμι,yuumi
Γιόνε,yone
Γιόρικ,yorick
Γκάλιο,galio
Γκάνγκπλανκ,gangplank
Γκάρεν,garen
Γκναρ,gnar
Γκουέν,gwen
Γκράγκας,gragas
Γκρέιβς,graves
Γουκόνγκ,monkeyking
Γουόργουικ,warwick
Δρ. Μούντο,drmundo
Ελίζ,elise
Ζάια,xayah
Ζάιρα,zyra
Ζέραθ,xerath
Ζέρι,zeri
Ζίλεαν,zilean
Ζακ,zac
Ζεντ,zed
Ζιγκζ,ziggs
Ζιν Ζάο,xinzhao
Ζόη,zoe
Θρες,thresh
Ιλλαόη,illaoi
Ιρέλια,irelia
Κάι'Σα,kaisa
Κάρθους,karthus
Κάρμα,karma
Κάσαντιν,kassadin
Κέιλ,kayle
Κέιν,kayn
Κέιτλιν,caitlyn
Κένεν,kennen
Κίντρεντ,kindred
Κα'Ζιξ,khazix
Κα'Σάντι,ksante
Καλίστα,kalista
Καμίλ,camille
Κασσιόπη,cassiopeia
Καταρίνα,katarina
Κιάνα,qiyana
Κλεντ,kled
Κογκ'Μο,kogmaw
Κουίν,quinn
Κόρκι,corki
Λίλια,lillia
ΛεΜπλάν,leblanc
Λεόνα,leona
Λι Σιν,leesin
Λισάντρα,lissandra
Λουξ,lux
Λούλου,lulu
Λούσιαν,lucian
Μάλζαχαρ,malzahar
Μάλφαϊτ,malphite
Μάστερ Γι,masteryi
Μίλιο,milio
Μαοκάι,maokai
Μις Φόρτσουν,missfortune
Μοργκάνα,morgana
Μορντεκάιζερ,mordekaiser
Μπελ’Βεθ,belveth
Μπλίτζκρανκ,blitzcrank
Μπράιαρ,briar
Μπράουμ,braum
Μπραντ,brand
Νάιλα,nilah
Νάμι,nami
Νάσους,nasus
Νίκκο,neeko
Νίνταλι,nidalee
Νααφίρι,naafiri
Ντάριους,darius
Ντιάνα,diana
Ντρέιβεν,draven
Νόκτουρν,nocturne
Νότιλους,nautilus
Οριάνα,orianna
Ορν,ornn
Ούντιρ,udyr
Ούργκοτ,urgot
Πάικ,pyke
Πάνθεον,pantheon
Πόπι,poppy
Ράιζ,ryze
Ράμους,rammus
Ρένγκαρ,rengar
Ρένεκτον,renekton
Ρίβεν,riven
Ρακάν,rakan
Ραμπλ,rumble
Ρεκ'Σάι,reksai
Ρελ,rell
Ρενάτα Γκλασκ,renataglasc
Σάιλας,sylas
Σάιον,sion
Σάκο,shaco
Σέννα,senna
Σίβιρ,sivir
Σίντρα,syndra
Σαμίρα,samira
Σεζουάνι,sejuani
Σεν,shen
Σεραφίν,seraphine
Σεττ,sett
Σιβάνα,shyvana
Σιντζντ,singed
Σμόλντερ,smolder
Σοράκα,soraka
Σουέιν,swain
Σόνα,sona
Τάλια,taliyah
Τάλον,talon
Τάρικ,taric
Τίμο,teemo
Ταμ Κεντς,tahmkench
Τζάνα,janna
Τζάρβαν ο Δ',jarvaniv
Τζέις,jayce
Τζαξ,jax
Τζιν,jhin
Τζινξ,jinx
Τουίστεντ Φέιτ,twistedfate
Τουίτς,twitch
Τρίνταμερ,tryndamere
Τραντλ,trundle
Τριστάνα,tristana
Τσο'Γκαθ,chogath
Υασούο,yasuo
Φίντλστιξ,fiddlesticks
Φιζ,fizz
Φιόρα,fiora
Χάιμερντιγκερ,heimerdinger
Χέκαριμ,hecarim
Χουέι,hwei
Ωρέλιον Σολ,aurelionsol
Ωρόρα,aurora
σκάρνερ,skarner
