name,link_name
Aatrox,aatrox
Ahri,ahri
Akali,akali
Akshan,akshan
Alistar,alistar
Ambessa,ambessa
Amumu,amumu
Anivia,anivia
Annie,annie
Aphelios,aphelios
Ashe,ashe
Aurelion Sol,aurelionsol
Aurora,aurora
Azir,azir
Bard,bard
Bel’Veth,belveth
Blitzcrank,blitzcrank
Brand,brand
Braum,braum
Briar,briar
Caitlyn,caitlyn
Camille,camille
Cassiopeia,cassiopeia
Cho'Gath,chogath
Corki,corki
Darius,darius
Diana,diana
Dr. Mundo,drmundo
Draven,draven
Ekko,ekko
Elise,elise
Evelynn,evelynn
Ezreal,ezreal
Fiddlesticks,fiddlesticks
Fiora,fiora
Fizz,fizz
Galio,galio
Gangplank,gangplank
Garen,garen
Gnar,gnar
Gragas,gragas
Graves,graves
Gwen,gwen
Hecarim,hecarim
Heimerdinger,heimerdinger
Hwei,hwei
Illaoi,illaoi
Irelia,irelia
Ivern,ivern
Janna,janna
Jarvan IV,jarvaniv
Jax,jax
Jayce,jayce
Jhin,jhin
Jinx,jinx
Kai'Sa,kaisa
Kalista,kalista
Karma,karma
Karthus,karthus
Kassadin,kassadin
Katarina,katarina
Kayle,kayle
Kayn,kayn
Kennen,kennen
Kha'Zix,khazix
Kindred,kindred
Kled,kled
Kog'Maw,kogmaw
K’Sante,ksante
LeBlanc,leblanc
Lee Sin,leesin
Leona,leona
Lillia,lillia
Lissandra,lissandra
Lucian,lucian
Lulu,lulu
Lux,lux
Malphite,malphite
Malzahar,malzahar
Maokai,maokai
Master Yi,masteryi
Milio,milio
Miss Fortune,missfortune
Mordekaiser,mordekaiser
Morgana,morgana
Naafiri,naafiri
Nami,nami
Nasus,nasus
Nautilus,nautilus
Neeko,neeko
Nidalee,nidalee
Nilah,nilah
Nocturne,nocturne
Nunu & Willump,nunu
Olaf,olaf
Orianna,orianna
Ornn,ornn
Pantheon,pantheon
Poppy,poppy
Pyke,pyke
Qiyana,qiyana
Quinn,quinn
Rakan,rakan
Rammus,rammus
Rek'Sai,reksai
Rell,rell
Renata Glasc,renataglasc
Renekton,renekton
Rengar,rengar
Riven,riven
Rumble,rumble
Ryze,ryze
Samira,samira
Sejuani,sejuani
Senna,senna
Seraphine,seraphine
Sett,sett
Shaco,shaco
Shen,shen
Shyvana,shyvana
Singed,singed
Sion,sion
Sivir,sivir
Skarner,skarner
Smolder,smolder
Sona,sona
Soraka,soraka
Swain,swain
Sylas,sylas
Syndra,syndra
Tahm Kench,tahmkench
Taliyah,taliyah
Talon,talon
Taric,taric
Teemo,teemo
Thresh,thresh
Tristana,tristana
Trundle,trundle
Tryndamere,tryndamere
Twisted Fate,twistedfate
Twitch,twitch
Udyr,udyr
Urgot,urgot
Varus,varus
Vayne,vayne
Veigar,veigar
Vel'Koz,velkoz
Vex,vex
Vi,vi
Viego,viego
Viktor,viktor
Vladimir,vladimir
Volibear,volibear
Warwick,warwick
Wukong,monkeyking
Xayah,xayah
Xerath,xerath
Xin Zhao,xinzhao
Yasuo,yasuo
Yone,yone
Yorick,yorick
Yuumi,yuumi
Zac,zac
Zed,zed
Zeri,zeri
Ziggs,ziggs
Zilean,zilean
Zoe,zoe
Zyra,zyra
