name,link_name
Аврора,aurora
Азир,azir
Акали,akali
Акшан,akshan
Алистар,alistar
Амбесса,ambessa
Амуму,amumu
Анивия,anivia
Ари,ahri
Атрокс,aatrox
Аурелион Сол,aurelionsol
Афелий,aphelios
Бард,bard
Бел'Вет,belveth
Блицкранк,blitzcrank
Брайер,briar
Браум,braum
Брэнд,brand
Вай,vi
Варвик,warwick
Варус,varus
Вейгар,veigar
Вейн,vayne
Векс,vex
Вел'Коз,velkoz
Виего,viego
Виктор,viktor
Владимир,vladimir
Волибир,volibear
Вуконг,monkeyking
Галио,galio
Гангпланк,gangplank
Гарен,garen
Гвен,gwen
Гекарим,hecarim
Гнар,gnar
Грагас,gragas
Грейвз,graves
Дариус,darius
Джакс,jax
Джарван IV,jarvaniv
Джейс,jayce
Джин,jhin
Джинкс,jinx
Диана,diana
Доктор Мундо,drmundo
Дрейвен,draven
Ёнэ,yone
Жанна,janna
Зайра,zyra
Зак,zac
Зед,zed
Зерат,xerath
Зери,zeri
Зиггс,ziggs
Зилеан,zilean
Зои,zoe
Иверн,ivern
Иллаой,illaoi
Ирелия,irelia
Йорик,yorick
К'Санте,ksante
Ка'Зикс,khazix
Каин,kayn
Кай'Са,kaisa
Калиста,kalista
Камилла,camille
Карма,karma
Картус,karthus
Кассадин,kassadin
Кассиопея,cassiopeia
Катарина,katarina
Квинн,quinn
Кейл,kayle
Кейтлин,caitlyn
Кеннен,kennen
Киана,qiyana
Киндред,kindred
Клед,kled
Ког'Мао,kogmaw
Корки,corki
Ксин Жао,xinzhao
Ле Блан,leblanc
Леона,leona
Ли Син,leesin
Лиллия,lillia
Лиссандра,lissandra
Лулу,lulu
Люкс,lux
Люциан,lucian
Мальзахар,malzahar
Мальфит,malphite
Маокай,maokai
Мастер Йи,masteryi
Милио,milio
Мисс Фортуна,missfortune
Моргана,morgana
Мордекайзер,mordekaiser
Наафири,naafiri
Нами,nami
Насус,nasus
Наутилус,nautilus
Нидали,nidalee
Нико,neeko
Нила,nilah
Ноктюрн,nocturne
Олаф,olaf
Орианна,orianna
Орн,ornn
Пайк,pyke
Пантеон,pantheon
Поппи,poppy
Райз,ryze
Рамбл,rumble
Раммус,rammus
Рек'Сай,reksai
Релл,rell
Рената Гласк,renataglasc
Ренгар,rengar
Ренектон,renekton
Ривен,riven
Рэйкан,rakan
Сайлас,sylas
Самира,samira
Свейн,swain
Седжуани,sejuani
Сенна,senna
Серафина,seraphine
Сетт,sett
Сивир,sivir
Синджед,singed
Синдра,syndra
Сион,sion
Скарнер,skarner
Смолдер,smolder
Сона,sona
Сорака,soraka
Таам Кенч,tahmkench
Талия,taliyah
Талон,talon
Тарик,taric
Твистед Фэйт,twistedfate
Твич,twitch
Тимо,teemo
Трандл,trundle
Треш,thresh
Триндамир,tryndamere
Тристана,tristana
Удир,udyr
Ургот,urgot
Фиддлстикс,fiddlesticks
Физз,fizz
Фиора,fiora
Хвэй,hwei
Хеймердингер,heimerdinger
Чо'Гат,chogath
Шако,shaco
Шая,xayah
Шен,shen
Шивана,shyvana
Эвелинн,evelynn
Эзреаль,ezreal
Экко,ekko
Элиза,elise
Энни,annie
Эш,ashe
Юми,yuumi
Ясуо,yasuo
Nunu & Willump,nunu
