name,link_name
AATROX,aatrox
AHRI,ahri
AKALI,akali
AKSHAN,akshan
ALISTAR,alistar
AMUMU,amumu
ANIVIA,anivia
ANNIE,annie
APHELIOS,aphelios
ASHE,ashe
AURELION SOL,aurelionsol
AZIR,azir
Ambessa,ambessa
Aurora,aurora
BARD,bard
BEL'VETH,belveth
BLITZCRANK,blitzcrank
BRAND,brand
BRAUM,braum
BRIAR,briar
CAITLYN,caitlyn
CAMILLE,camille
CASSIOPEIA,cassiopeia
CHO'GATH,chogath
CORKI,corki
DARIUS,darius
DIANA,diana
DR. MUNDO,drmundo
DRAVEN,draven
EKKO,ekko
ELISE,elise
EVELYNN,evelynn
EZREAL,ezreal
FIDDLESTICKS,fiddlesticks
FIORA,fiora
FIZZ,fizz
GALIO,galio
GANGPLANK,gangplank
GAREN,garen
GNAR,gnar
GRAGAS,gragas
GRAVES,graves
GWEN,gwen
HECARIM,hecarim
HEIMERDINGER,heimerdinger
HWEI,hwei
ILLAOI,illaoi
IRELIA,irelia
IVERN,ivern
JANNA,janna
JARVAN IV,jarvaniv
JAX,jax
JAYCE,jayce
JHIN,jhin
JINX,jinx
K'SANTE,ksante
KAI'SA,kaisa
KALISTA,kalista
KARMA,karma
KARTHUS,karthus
KASSADIN,kassadin
KATARINA,katarina
KAYLE,kayle
KAYN,kayn
KENNEN,kennen
KHA'ZIX,khazix
KINDRED,kindred
KLED,kled
KOG'MAW,kogmaw
LEBLANC,leblanc
LEE SIN,leesin
LEONA,leona
LILLIA,lillia
LISSANDRA,lissandra
LUCIAN,lucian
LULU,lulu
LUX,lux
MALPHITE,malphite
MALZAHAR,malzahar
MAOKAI,maokai
MASTER YI,masteryi
MILIO,milio
MISS FORTUNE,missfortune
MORDEKAISER,mordekaiser
MORGANA,morgana
NAAFIRI,naafiri
NAMI,nami
NASUS,nasus
NAUTILUS,nautilus
NIDALEE,nidalee
NILAH,nilah
NOCTURNE,nocturne
Neeko,neeko
Nunu & Willump,nunu
OLAF,olaf
ORIANNA,orianna
ORNN,ornn
PANTHEON,pantheon
POPPY,poppy
PYKE,pyke
QIYANA,qiyana
QUINN,quinn
RAKAN,rakan
RAMMUS,rammus
REK'SAI,reksai
RELL,rell
RENATA GLASC,renataglasc
RENEKTON,renekton
RENGAR,rengar
RIVEN,riven
RUMBLE,rumble
RYZE,ryze
SAMIRA,samira
SEJUANI,sejuani
SERAPHINE,seraphine
SHACO,shaco
SHEN,shen
SHYVANA,shyvana
SINGED,singed
SION,sion
SIVIR,sivir
SMOLDER,smolder
SONA,sona
SORAKA,soraka
SWAIN,swain
SYLAS,sylas
SYNDRA,syndra
Senna,senna
Sett,sett
Skarner,skarner
TAHM KENCH,tahmkench
TALIYAH,taliyah
TALON,talon
TARIC,taric
TEEMO,teemo
THRESH,thresh
TRISTANA,tristana
TRUNDLE,trundle
TRYNDAMERE,tryndamere
TWISTED FATE,twistedfate
TWITCH,twitch
UDYR,udyr
URGOT,urgot
VARUS,varus
VAYNE,vayne
VEIGAR,veigar
VEL'KOZ,velkoz
VI,vi
VIEGO,viego
VIKTOR,viktor
VLADIMIR,vladimir
VOLIBEAR,volibear
Vex,vex
WARWICK,warwick
WUKONG,monkeyking
XAYAH,xayah
XERATH,xerath
XIN ZHAO,xinzhao
YASUO,yasuo
YORICK,yorick
YUUMI,yuumi
Yone,yone
ZAC,zac
ZED,zed
ZERI,zeri
ZIGGS,ziggs
ZILEAN,zilean
ZOE,zoe
ZYRA,zyra
