date,id,name,title,tags,region,lane,release_date,splash,loading,square,spell_1,spell_2,spell_3,spell_4,passive
2024-02-09,Aatrox,آتروكس,نصل الداركن,Fighter,Runeterra,top,2013-06-13,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Aatrox.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AatroxQ.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AatroxW.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AatroxE.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AatroxR.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Aatrox_Passive.png
2024-02-26,Ahri,آري,الثعلبة ذات التسعة ذيول,Mage*Assassin,Ionia,middle,2011-12-14,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Ahri.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AhriQ.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AhriW.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AhriE.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AhriR.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Ahri_SoulEater2.png
2024-12-20,Akali,أكالي,القاتلة المارقة,Assassin,Ionia,top*middle,2010-05-11,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akali_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Akali.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkaliQ.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkaliW.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkaliE.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkaliR.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Akali_P.png
2024-11-23,Akshan,أكشان,الحارس المارق,Marksman*Assassin,Shurima,middle,2021-07-22,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akshan_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akshan_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Akshan.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkshanQ.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkshanW.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkshanE.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkshanR.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/akshan_p.png
2024-01-22,Alistar,أليستار,المينوتور,Tank*Support,Runeterra,support,2009-02-21,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Alistar_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Alistar_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Alistar.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/Pulverize.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/Headbutt.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AlistarE.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/FerociousHowl.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Alistar_E.png
2024-01-11,Amumu,أمومو,المومياء الحزينة,Tank*Support,Shurima,jungle,2009-06-26,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Amumu_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Amumu_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Amumu.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/BandageToss.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AuraofDespair.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/Tantrum.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/CurseoftheSadMummy.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Amumu_Passive.png
2024-10-04,Anivia,أنيفيا,عنقاء الجليد,Mage,The Freljord,middle,2009-07-10,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Anivia_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Anivia_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Anivia.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/FlashFrost.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/Crystallize.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/Frostbite.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/GlacialStorm.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Anivia_P.png
2024-01-02,Annie,آني,طفلة الظلام,Mage*Support,Runeterra,middle,2009-02-21,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Annie_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Annie_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Annie.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AnnieQ.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AnnieW.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AnnieE.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AnnieR.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Annie_Passive.png
2024-10-16,Aphelios,أفيليوس,سلاح المخلصين,Marksman,Targon,bottom,2019-12-11,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aphelios_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aphelios_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Aphelios.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/ApheliosQ_ClientTooltipWrapper.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/ApheliosW.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/ApheliosE_ClientTooltipWrapper.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/ApheliosR.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/ApheliosP.png
2024-03-23,Ashe,آش,رامية الصقيع,Marksman*Support,The Freljord,bottom*support,2009-02-21,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ashe_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ashe_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Ashe.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AsheQ.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/Volley.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AsheSpiritOfTheHawk.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/EnchantedCrystalArrow.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Ashe_P.png
