date,id,name,title,tags,region,lane,release_date,splash,loading,square,spell_1,spell_2,spell_3,spell_4,passive
2033-07-02,Aatrox,暗裔剑魔,亚托克斯,战士,符文之地,top,2013-06-13,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aatrox_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Aatrox.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AatroxQ.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AatroxW.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AatroxE.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AatroxR.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Aatrox_Passive.png
2033-04-18,Ahri,九尾妖狐,阿狸,法师*刺客,艾欧尼亚,middle,2011-12-14,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ahri_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Ahri.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AhriQ.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AhriW.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AhriE.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AhriR.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Ahri_SoulEater2.png
2033-09-13,Akali,离群之刺,阿卡丽,刺客,艾欧尼亚,top*middle,2010-05-11,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akali_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akali_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Akali.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkaliQ.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkaliW.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkaliE.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkaliR.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Akali_P.png
2033-04-05,Akshan,影哨,阿克尚,射手*刺客,恕瑞玛,middle,2021-07-22,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akshan_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Akshan_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Akshan.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkshanQ.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkshanW.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkshanE.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AkshanR.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/akshan_p.png
2033-07-15,Alistar,牛头酋长,阿利斯塔,坦克*辅助,符文之地,support,2009-02-21,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Alistar_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Alistar_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Alistar.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/Pulverize.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/Headbutt.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AlistarE.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/FerociousHowl.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Alistar_E.png
2033-10-04,Amumu,殇之木乃伊,阿木木,坦克*辅助,恕瑞玛,jungle,2009-06-26,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Amumu_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Amumu_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Amumu.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/BandageToss.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AuraofDespair.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/Tantrum.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/CurseoftheSadMummy.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Amumu_Passive.png
2033-06-28,Anivia,冰晶凤凰,艾尼维亚,法师,弗雷尔卓德,middle,2009-07-10,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Anivia_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Anivia_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Anivia.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/FlashFrost.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/Crystallize.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/Frostbite.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/GlacialStorm.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Anivia_P.png
2033-05-14,Annie,黑暗之女,安妮,法师*辅助,符文之地,middle,2009-02-21,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Annie_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Annie_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Annie.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AnnieQ.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AnnieW.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AnnieE.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AnnieR.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Annie_Passive.png
2033-12-12,Aphelios,残月之肃,厄斐琉斯,射手,巨神峰,bottom,2019-12-11,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aphelios_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Aphelios_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Aphelios.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/ApheliosQ_ClientTooltipWrapper.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/ApheliosW.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/ApheliosE_ClientTooltipWrapper.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/ApheliosR.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/ApheliosP.png
2033-08-07,Ashe,寒冰射手,艾希,射手*辅助,弗雷尔卓德,bottom*support,2009-02-21,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ashe_0.jpg,https://ddragon.leagueoflegends.com/cdn/img/champion/loading/Ashe_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/champion/Ashe.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AsheQ.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/Volley.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/AsheSpiritOfTheHawk.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/spell/EnchantedCrystalArrow.png,https://ddragon.leagueoflegends.com/cdn/14.21.1/img/passive/Ashe_P.png
