date,link_name,name,surname,race,role,region,quote,lane,date_release,image,image_spell_1,image_spell_2,image_spell_3,image_spell_4,image_passive
2033-07-02,aatrox,아트록스,다르킨의 검,다르킨,전사,룬테라,“한 조각 희망조차 남김없이 파괴한다…”,Top,2013-06-13,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AatroxQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AatroxW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AatroxE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AatroxR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Aatrox_Passive.png
2033-04-18,ahri,아리,구미호,바스타야,마법사,아이오니아,“인간의 감정은 가장 심오한 마법보다도 변화무쌍해.”,Mid,2011-12-14,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AhriQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AhriW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AhriE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AhriR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Ahri_SoulEater2.png
2033-09-13,akali,아칼리,섬기는 이 없는 암살자,,암살자,아이오니아,"""겉모습이 위협적이면, 실력도 위협적인 게 좋겠지.""",Mid,2010-05-11,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akali_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkaliQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkaliW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkaliE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkaliR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Akali_P.png
2033-04-05,akshan,아크샨,떠도는 감시자,,원거리 딜러,슈리마,"""모든 일에 이유가 있는 건 아니지. 그냥, 해치워버려야 하는 일도 있는 법이니.""",Mid,2021-07-23,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akshan_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkshanQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkshanW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkshanE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AkshanR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/akshan_p.png
2033-07-15,alistar,알리스타,미노타우로스,,탱커,룬테라,''누구도 날 막지 못해!'',Support,2009-02-21,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Alistar_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Pulverize.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Headbutt.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AlistarE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FerociousHowl.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Alistar_E.png
2033-10-04,ambessa,암베사,전장의 우두머리,,전사,녹서스,"""내 적은 곧 가문의 적이다.""",,,,,,,,
2033-06-28,amumu,아무무,슬픈 미라,,탱커,슈리마,"“고독, 죽음보다 더 지독한 외로움.”",Jungle,2009-06-26,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Amumu_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BandageToss.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AuraofDespair.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Tantrum.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CurseoftheSadMummy.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Amumu_Passive.png
2033-05-14,anivia,애니비아,얼음불사조,,마법사,프렐요드,"''나는 눈보라의 분노이자, 매서운 바람의 이빨이며, 빙하의 냉기 그 자체다. 나는 곧 프렐요드다.''",Mid,2009-07-10,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Anivia_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FlashFrost.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Crystallize.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Frostbite.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/GlacialStorm.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Anivia_P.png
2033-12-12,annie,애니,어둠의 아이,,마법사,룬테라,“퍼얼펄 재가 내리네!”,Mid,2009-02-21,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Annie_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AnnieQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AnnieW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AnnieE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AnnieR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Annie_Passive.png
2033-08-07,aphelios,알룬,신념의 무기,,원거리 딜러,타곤,"""운명을 부정할수록 우리의 믿음은 굳건해져.""",ADC,2019-12-11,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aphelios_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/ApheliosQ_ClientTooltipWrapper.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/ApheliosW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/ApheliosE_ClientTooltipWrapper.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/ApheliosR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/ApheliosP.png
2033-05-12,ashe,애쉬,서리 궁수,,원거리 딜러,프렐요드,"''하나의 부족, 하나 된 민족, 위대한 프렐요드를 위하여!''",ADC,2009-02-21,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ashe_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AsheQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Volley.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AsheSpiritOfTheHawk.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EnchantedCrystalArrow.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Ashe_P.png
2033-01-03,aurelionsol,아우렐리온 솔,별의 창조자,,마법사,룬테라,"“웅크리고. 찬양하고. 애원하지. 그래, 내가 기대했던 대로다.”",Mid,2016-03-24,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/AurelionSol_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AurelionSolQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AurelionSolW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AurelionSolE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AurelionSolR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/AurelionSolP.png
2033-05-24,aurora,오로라,세계의 경계에 선 마녀,바스타야,마법사,프렐요드,"""난 영혼 세계와 물질 세계를 동시에 봐. 이 통합된 세상은 나만의 것… 정말 아름다워.""",,,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aurora_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AuroraQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AuroraW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AuroraE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AuroraR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/AuroraPassive.Aurora.png
2033-05-05,azir,아지르,사막의 황제,,마법사,슈리마,"“룬테라의 찬란한 대제국, 슈리마. 그 영광을 기필코 되살리리라.”",Mid,2014-09-16,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Azir_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AzirQWrapper.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AzirW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AzirEWrapper.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/AzirR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Azir_Passive.png
2033-03-19,bard,라이즈,영겁의 수호자,,서포터,룬테라,''내딛는 걸음마다 울려 퍼지는 종소리는 변화의 메아리입니다'',Support,2015-03-12,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Bard_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BardQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BardW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BardE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BardR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Bard_Passive.png
2033-12-26,belveth,벨베스,공허의 여제,,전사,공허,"""이 세계는 잊히지 않으리라. 내가 대체할 테니까. 마치 부모를 삼켜버린 자식처럼.""",Jungle,2022-06-09,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Belveth_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BelvethQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BelvethW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BelvethE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BelvethR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Belveth_Passive.png
2033-11-07,blitzcrank,블리츠크랭크,거대 증기 골렘,,탱커,자운,“단 한 번의 기어 작동이 많은 것을 바꾼다.”,Support,2009-09-02,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Blitzcrank_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/RocketGrab.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Overdrive.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/PowerFist.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/StaticField.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Blitzcrank_ManaBarrier.png
2033-07-08,brand,브랜드,타오르는 복수,,마법사,룬테라,"''이 세상은 불타 버릴 것이다. 바람의 숨결을 타고 날아오는 불씨 때문이 아니라, 활활 타오르는 내 복수의 손길에 의해서.''",Mid,2011-04-12,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Brand_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BrandQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BrandW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BrandE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BrandR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/BrandP.png
2033-12-24,braum,브라움,프렐요드의 심장,,서포터,프렐요드,"''오늘은 서로 싸우지만, 언젠가 같은 편으로 만나기도 할 거야.''",Support,2014-05-12,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Braum_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BraumQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BraumW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BraumE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BraumRWrapper.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Braum_Passive.png
2033-07-01,briar,브라이어,억눌린 허기,,전사,녹서스,"""자제할 수 있어. 스스로를 통제에서 해방시켰으니까.""",Jungle,2023-09-14,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Briar_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BriarQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BriarW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BriarE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/BriarR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/BriarP.png
2033-08-06,caitlyn,케이틀린,필트오버의 보안관,,원거리 딜러,필트오버,“최고의 사냥꾼이 되려면 사냥감의 머릿속이 훤히 들여다보여야 해.”,ADC,2011-01-04,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Caitlyn_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CaitlynQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CaitlynW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CaitlynE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CaitlynR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Caitlyn_Headshot.png
2033-05-31,camille,카밀,강철의 그림자,,전사,필트오버,“정교함이 없다면 망나니일 뿐.”,Top,2016-12-07,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Camille_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CamilleQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CamilleW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CamilleE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CamilleR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Camille_Passive.png
2033-01-29,cassiopeia,카시오페아,독사의 포옹,,마법사,녹서스,"""비밀은 칼날보다 날카로운 법...""",Mid,2010-12-14,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Cassiopeia_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CassiopeiaQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CassiopeiaW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CassiopeiaE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CassiopeiaR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Cassiopeia_Passive.png
2033-01-09,chogath,초가스,공허의 공포,,탱커,공허,''네 영혼으로 공허를 채워야겠구나.'',Top,2009-06-26,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Chogath_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Rupture.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FeralScream.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/VorpalSpikes.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/Feast.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/GreenTerror_TailSpike.png
2033-10-06,corki,코르키,대담한 폭격수,,원거리 딜러,밴들 시티,''공중에서 닥쳐오는 죽음!'',Mid,2009-09-19,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Corki_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/PhosphorusBomb.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/CarpetBomb.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/GGun.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/MissileBarrage.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Corki_RapidReload.png
2033-07-28,darius,다리우스,녹서스의 실력자,,전사,녹서스,‘‘역사는 승자만을 기억하는 법. 녹서스와 함께한다면 영원히 기억되리라.’’,Top,2012-05-23,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Darius_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DariusCleave.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DariusNoxianTacticsONH.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DariusAxeGrabCone.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DariusExecute.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Darius_Icon_Hemorrhage.png
2033-12-04,diana,다이애나,차가운 달의 분노,,전사,타곤,“나는 달의 영혼 속에 흐르는 빛이다.”,Jungle,2012-08-07,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Diana_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DianaQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DianaOrbs.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DianaTeleport.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DianaR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Diana_Passive_LunarBlade.png
2033-05-09,draven,드레이븐,화려한 처형자,,원거리 딜러,녹서스,''최고의 기준은 바로 내가 정한다.'',ADC,2012-06-06,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Draven_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DravenSpinning.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DravenFury.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DravenDoubleShot.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DravenRCast.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Draven_passive.png
2033-01-30,drmundo,문도 박사,자운의 광인,,전사,자운,"""문도 실력 죽인다. 환자 다신 안 찾아온다!""",Top,2009-09-02,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/DrMundo_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DrMundoQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DrMundoW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DrMundoE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/DrMundoR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/DrMundo_P.png
2033-11-03,ekko,에코,시간을 달리는 소년,,암살자,자운,''내 장치들은 의도대로 작동하지 않을 때 가장 효과가 좋지. 대부분의 경우 그렇지만 말이야.'',Jungle,2015-05-29,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ekko_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EkkoQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EkkoW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EkkoE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EkkoR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Ekko_P.png
2033-12-14,elise,엘리스,거미 여왕,,마법사,그림자 군도,“미모는 곧 권력이며 그 어느 검보다도 빠르게 상대를 칠 수 있다.”,Jungle,2012-10-26,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Elise_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EliseHumanQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EliseHumanW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EliseHumanE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EliseR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/ElisePassive.png
2033-03-13,evelynn,이블린,고통스런 포옹,,암살자,룬테라,"""오늘 밤에 뭐 할 거야? 네 마음 속 깊디깊은 고뇌의 샘, 같이 분출해 버리지 않을래?""",Jungle,2009-05-01,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Evelynn_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EvelynnQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EvelynnW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EvelynnE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EvelynnR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Evelynn_Passive.png
2033-09-09,ezreal,이즈리얼,무모한 탐험가,,원거리 딜러,필트오버,"""처음부터 규칙을 모르면, 어길 수도 없잖아?""",ADC,2010-03-16,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ezreal_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EzrealQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EzrealW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EzrealE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/EzrealR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Ezreal_RisingSpellForce.png
2033-12-10,fiddlesticks,이름 없는 희생자,오래된 공포,,마법사,룬테라,"""녀석이 우릴 쫓고 있어. 우리가 뭘 두려워하는지 알고 있는 거야.""",Jungle,2009-02-21,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiddlesticks_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FiddleSticksQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FiddleSticksW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FiddleSticksE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FiddleSticksR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/FiddlesticksP.png
2033-11-09,fiora,피오라,결투의 대가,,전사,데마시아,"''명예를 걸고 널 처단하러 왔다. 네겐 명예 따윈 없지만, 그렇다고 죽음을 피할 순 없을 거다.''",Top,2012-02-29,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fiora_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FioraQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FioraW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FioraE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FioraR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Fiora_P.png
2033-03-11,fizz,피즈,대양의 말썽꾸러기,,암살자,룬테라,"""인간들은 물속에서 숨도 못 쉬잖아? 시시하군.""",Mid,2011-11-15,https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Fizz_0.jpg,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FizzQ.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FizzW.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FizzE.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/spell/FizzR.png,https://ddragon.leagueoflegends.com/cdn/14.19.1/img/passive/Fizz_P.png
